ID,DOCUMENT,LABEL
111,"
							Is it possible to change subscription the student ...
							
						",Account
112,"
							All my music has gone, someone else?€?s is on my acc...
							
						",Account
113,"
							Can't cancel without facebook
							
						",Account
114,"
							How to reset the mail and password connected to th...
							
						",Account
115,"
							Changing country on a premium account
							
						",Account
116,"
							Charged after Cancellation
							
						",Account
117,"
							Cancelled subscription but still charged!! How do ...
							
						",Account
118,"
							Kan niet inloggen om mijn primeun account
							
						",Account
119,"
							Help Please
							
						",Account
120,"
							Suspicious acitivy email
							
						",Account
121,"
							Moved to Jordan
							
						",Account
122,"
							Problemas com o Premium
							
						",Account
123,"
							Premium not working
							
						",Account
124,"
							no music
							
						",Account
125,"
							3 months for the price of 1?
							
						",Account
126,"
							Can't subscribe spotify
							
						",Account
127,"
							Can't make playlists
							
						",Account
128,"
							How do I log out from my account on the mobile app...
							
						",Account
129,"
							Change of Country and Payment Amount
							
						",Account
130,"
							Have been charged but dont have premium...
							
						",Account
131,"
							Changing emails language?
							
						",Account
132,"
							Email says Holiday Deal for $0.99 for 3 months, pa...
							
						",Account
133,"
							Tried to connect my current account to facebook bu...
							
						",Account
134,"
							Full Display Name
							
						",Account
135,"
							Can't Create New Account
							
						",Account
136,"
							Payment mobile UK
							
						",Account
137,"
							Change country
							
						",Account
138,"
							Pagamento
							
						",Account
139,"
							All music content cone.
							
						",Account
140,"
							Problems with login in through Facebook
							
						",Account
141,"
							If sign up with Facebook
							
						",Account
142,"
							Help me please, how can I delete my account?
							
						",Account
143,"
							HP is one of the leading companies in the world. I...
							
						",Account
144,"
							my followers and who I follow
							
						",Account
145,"
							premium family
							
						",Account
146,"
							Ads on Premium
							
						",Account
147,"
							Problem with a Premium Family account
							
						",Account
148,"
							something with fammily package
							
						",Account
149,"
							Link Facebook account a Spotify
							
						",Account
150,"
							Problems logging into iOS app
							
						",Account
151,"
							Payment problem
							
						",Account
152,"
							Account hacked!!!!!
							
						",Account
153,"
							cbfgjhfgh
							
						",Account
154,"
							Device Password unchangeable
							
						",Account
155,"
							lost my playlist and can't remember my login in na...
							
						",Account
156,"
							Renewed Family Plan and unlinked family users
							
						",Account
157,"
							Changed my e-mail in Facebook, Spotify doesn't syn...
							
						",Account
158,"
							Account lost after password reset
							
						",Account
159,"
							Logging in to my old account
							
						",Account
160,"
							Redeem code
							
						",Account
161,"
							Spotify Premium with Apple ID
							
						",Account
162,"
							APRYL	coinbase support number 	1888??944??4844 USA	y...
							
						",Account
163,"
							i subscriped to premium (i paid) and i'm still in ...
							
						",Account
164,"
							My family subscription deleted
							
						",Account
165,"
							Problems logging in
							
						",Account
166,"
							Im a student at MCC and it's saying &quot;can't co...
							
						",Account
167,"
							Ingreso a Spotify
							
						",Account
168,"
							CONTA UNIVERSIT??RIA
							
						",Account
169,"
							Family Premium Subscrption missing
							
						",Account
170,"
							Help! I have changed my password, logged out every...
							
						",Account
171,"
							Cannot my Spotify account with Fido number
							
						",Account
172,"
							Spotify student cancelled
							
						",Account
173,"
							None of your facebook friends are on spotify?
							
						",Account
174,"
							Discount for annual subscription?
							
						",Account
175,"
							Is it true that Spotify will be available in Middl...
							
						",Account
176,"
							Discount Family Subscriptions!
							
						",Account
177,"
							Username change
							
						",Account
178,"
							Account history
							
						",Account
179,"
							Can't update payment method
							
						",Account
180,"
							Account reverted back to Free from Premium
							
						",Account
181,"
							G+++1.850(777)308.6 facebook customer service numb...
							
						",Account
182,"
							I made a spotify premium account and I logged out ...
							
						",Account
183,"
							Hesap ACil
							
						",Account
184,"
							60 Day free trial
							
						",Account
185,"
							When will Spotify for PS4 will be available in IND...
							
						",Account
186,"
							Another family account
							
						",Account
187,"
							Facebook account got hacked
							
						",Account
188,"
							Remote Monitoring Tool Software
							
						",Account
189,"
							cancaled my subscription
							
						",Account
190,"
							idfghdfugfd
							
						",Account
191,"
							[HELP] Utilizar cuenta de artista para todo
							
						",Account
192,"
							Facebook Connect not working
							
						",Account
193,"
							Being charged four times a month.
							
						",Account
194,"
							fgvbfdc
							
						",Account
195,"
							Unable to accept family Invite due to address
							
						",Account
196,"
							hacked
							
						",Account
197,"
							Ho attivato spotyfy premium ma risulto ancora con ...
							
						",Account
198,"
							Strange entries in recently listened by someone el...
							
						",Account
199,"
							Plano Fam??lia - problema com pagamento.
							
						",Account
200,"
							[All Platforms] Alphabetical artist sorting
							
						",Account
201,"
							m??sica que no quiero que est?? en mi perfil de arti...
							
						",Account
202,"
							Cannot set device password
							
						",Account
203,"
							Transferir meu login do facebook para e-mail sem p...
							
						",Account
204,"
							Premium isn't showing when logged in on new phone.
							
						",Account
205,"
							Cambie de plan de pago y no reconoce el cambio
							
						",Account
206,"
							[All Platforms][Playlists] Bring Back Editing Play...
							
						",Account
207,"
							Spotify Playlist updated, removed a few sounds. Ho...
							
						",Account
208,"
							Playlist stuck at Loading...
							
						",Account
209,"
							Can you have the 3 month for 99 cents and a studen...
							
						",Account
210,"
							Moving abroad
							
						",Account
211,"
							Solve this: The CSRF token is invalid. Please try ...
							
						",Account
212,"
							Paying Every month But No premium available
							
						",Account
213,"
							Upgraded to student premium still on free and char...
							
						",Account
214,"
							i'm not able to connect to Spotify Family
							
						",Account
215,"
							Premium cobrado mais n??o atualizado
							
						",Account
216,"
							Help with account
							
						",Account
217,"
							Can't find my account and I want to retrieve it!!!
							
						",Account
218,"
							Premium wurde pausiert obwohl ich ein giftkarte be...
							
						",Account
219,"
							Both Apple and Spotify charged me/charged twice
							
						",Account
220,"
							Ready to scream
							
						",Account
221,"
							Account settings
							
						",Account
222,"
							two accounts copying playlists
							
						",Account
223,"
							Password is shown publicly when creating a playlis...
							
						",Account
224,"
							M??S DE 5 A??OS cobr??ndome 9.99 Euros SIN SOLICITARL...
							
						",Account
225,"
							Subscription cancellation not going through
							
						",Account
226,"
							Premium account recovery impossible?
							
						",Account
227,"
							Is the $0.99 deal only a summer thing?
							
						",Account
228,"
							Recommendations question
							
						",Account
229,"
							Spotify trial
							
						",Account
230,"
							E-mail changing troubles
							
						",Account
231,"
							Unlink personal account from artist
							
						",Account
232,"
							Spotify screwing me over
							
						",Account
233,"
							erro de email
							
						",Account
234,"
							I just subscribed by ticking the box 'three months...
							
						",Account
235,"
							Me cancelaron mi plan familiar
							
						",Account
236,"
							Change country settings /  country not listed
							
						",Account
237,"
							Kan niet meer inloggen, facebook opgezegd, heb een...
							
						",Account
238,"
							Brand Account / Radiostation / Playlists
							
						",Account
239,"
							Cannot change avatar
							
						",Account
240,"
							Someone is adding playlists and songs since 22.07....
							
						",Account
241,"
							mudar forma de pagamento
							
						",Account
242,"
							Hacked account
							
						",Account
243,"
							Clarity on Facebook's data sharing scandal
							
						",Account
244,"
							Overcharged 12.99 instead of 9.99
							
						",Account
245,"
							Fraud
							
						",Account
246,"
							Getting charged a wrong amount
							
						",Account
247,"
							Logged in devices
							
						",Account
248,"
							Premium is not working
							
						",Account
249,"
							Using in Different countries
							
						",Account
250,"
							Request access to Fan Insights not possible
							
						",Account
251,"
							Requesting Help
							
						",Account
252,"
							hfghf
							
						",Account
253,"
							how to link a free (email) and premium (facebook) ...
							
						",Account
254,"
							What happened my Premium acc?
							
						",Account
255,"
							Quickbooks fkd
							
						",Account
256,"
							account hacked?
							
						",Account
257,"
							Account verify
							
						",Account
258,"
							Merge present free playlists with new premium memb...
							
						",Account
259,"
							Artist placement
							
						",Account
260,"
							search for friends/people not working since last u...
							
						",Account
261,"
							I want to merge my user profile and my artist page...
							
						",Account
262,"
							If i sign up at the end of the month, am i charged...
							
						",Account
263,"
							Login Failed
							
						",Account
264,"
							Can't access old account which is premium.
							
						",Account
265,"
							Can't Connect to Facebook
							
						",Account
266,"
							Free premium account
							
						",Account
267,"
							Assinei o premium familiar por 60 dias Gr??tis
							
						",Account
268,"
							Downloading songs
							
						",Account
269,"
							Why no spotify friends?
							
						",Account
270,"
							Cobran??a da mensalidade sem terem respeitado os 30...
							
						",Account
271,"
							Re: Trotz Best??tigung meiner Adresse wurde mein Ko...
							
						",Account
272,"
							Signed out everywhere, was I hacked?
							
						",Account
273,"
							``(1+800`-208`-0139)``  pof customer support numbe...
							
						",Account
274,"
							App wont allow me to log in
							
						",Account
275,"
							Following a blank playlist?
							
						",Account
276,"
							Song shows up on Spotify website, although not on ...
							
						",Account
277,"
							suscripci??n por compra amplificador yamaha
							
						",Account
278,"
							Unable to change country from USA to Canada
							
						",Account
279,"
							Cant modify the country
							
						",Account
280,"
							Login Trouble
							
						",Account
281,"
							I'm connecting to random people
							
						",Account
282,"
							Ayuda
							
						",Account
283,"
							Just got family plan
							
						",Account
284,"
							cant't login on my tesla model S
							
						",Account
285,"
							Can?€?t log into my account
							
						",Account
286,"
							2 accounts, 1 free & 1 premium, same email, reset ...
							
						",Account
287,"
							Can't log into spotify when on home wifi
							
						",Account
288,"
							Changing what you call me in my account....
							
						",Account
289,"
							Free trial and charge me right away
							
						",Account
290,"
							Spotify on R4PG premium but live in austria
							
						",Account
291,"
							Payed using different card, says I will lose premi...
							
						",Account
292,"
							Canceling account
							
						",Account
293,"
							Re: Year in Review
							
						",Account
294,"
							can sign in on laptop but otherwise cant get to my...
							
						",Account
295,"
							Se eliminaron mis playlists
							
						",Account
296,"
							Can??t join the Family account
							
						",Account
297,"
							Volume too quiet (couldn't reply to previous post)
							
						",Account
298,"
							Want to stop payment.
							
						",Account
299,"
							I think someone took over my old account and react...
							
						",Account
300,"
							Problem with spotify premium
							
						",Account
301,"
							Premium current offer. How many months at 6,99e af...
							
						",Account
302,"
							Logging in
							
						",Account
303,"
							Thailand Spotify Family subscription not accepting...
							
						",Account
304,"
							NUS EXTRA
							
						",Account
305,"
							Someone continually gains access to my Spotify des...
							
						",Account
306,"
							Why Can't I Access my Account?
							
						",Account
307,"
							Hacked account. Email and password changed.
							
						",Account
308,"
							Wont let me log in because it thinks im overseas
							
						",Account
309,"
							Me sale que tengo cuenta free
							
						",Account
310,"
							username is currently random string of letters + n...
							
						",Account
311,"
							Gift card redeemed to wrong account.  Help!
							
						",Account
312,"
							someone using my account
							
						",Account
313,"
							Spotify me ha cambiado todas mis canciones favorit...
							
						",Account
314,"
							How do I add the whole playlist created by someone...
							
						",Account
315,"
							Close Account
							
						",Account
316,"
							Can?€?t log in! Lots of bizarre reasons given please...
							
						",Account
317,"
							Cant get the link to set a password
							
						",Account
318,"
							Spotify Family - Work  Account?
							
						",Account
319,"
							Cannot access account and you keep charging me and...
							
						",Account
320,"
							Family Premium Test Month
							
						",Account
321,"
							Someone created a profile using my email address!
							
						",Account
322,"
							Cant connect to social, alrdy tried different solu...
							
						",Account
323,"
							Strange account logging/password reset problem
							
						",Account
324,"
							Spotify family streaming
							
						",Account
325,"
							Is it possible to manage the likes given and recei...
							
						",Account
326,"
							Spotify Mini Player Concept
							
						",Account
327,"
							Problema al iniciar sesion
							
						",Account
328,"
							N??o consigo assinar o spotify plano familiar com o...
							
						",Account
329,"
							Do local file plays count towards Discover Weekly?
							
						",Account
330,"
							Creating an Artist Playlist
							
						",Account
331,"
							Account premium
							
						",Account
332,"
							????????????582 2401 Netflix Support Number @ NetFlix Logi...
							
						",Account
333,"
							Account email
							
						",Account
334,"
							Recovery email not showing up in any folder
							
						",Account
335,"
							Re: App is not recognizing my Premium account
							
						",Account
336,"
							Premium Family plan address issues
							
						",Account
337,"
							Can't update payment
							
						",Account
338,"
							Can't login and can't reset my Spotify premium
							
						",Account
339,"
							Can't merge Facebook and Spotify accounts
							
						",Account
340,"
							Me ha llegado un correo de Spotify inesperado.
							
						",Account
341,"
							Can't change my email address due to a bug
							
						",Account
342,"
							can't share to spotify-user anymore??!!!
							
						",Account
343,"
							Is it possible to get my friends email?
							
						",Account
344,"
							invite your children to spotify for family without...
							
						",Account
345,"
							Need help with gift ASAP
							
						",Account
346,"
							I want to fix my user name
							
						",Account
347,"
							not able to login box
							
						",Account
348,"
							Account is hacked
							
						",Account
349,"
							Won't Accept Credit Card Information
							
						",Account
350,"
							This is the most counter-intuitive load of **bleep...
							
						",Account
351,"
							premium
							
						",Account
352,"
							My acccount has been banned
							
						",Account
353,"
							Charged 4 times
							
						",Account
354,"
							I Can't Edit My Profile Due to...
							
						",Account
355,"
							HACKED ACCOUNT CHANGED MAIL
							
						",Account
356,"
							Account name change/reset and unlinking Facebook
							
						",Account
357,"
							Unable to Access account, trying to cancel subscri...
							
						",Account
358,"
							How much is the tax?
							
						",Account
359,"
							Download limit equals deleting music
							
						",Account
360,"
							Password help
							
						",Account
361,"
							eg
							
						",Account
362,"
							""A short update to your Premium Family Abo"" mailin...
							
						",Account
363,"
							Move playlists from one account to other
							
						",Account
364,"
							Updated terms. Where do I click ""Agree""???
							
						",Account
365,"
							Won't let me log in
							
						",Account
366,"
							spotify premium discount for students
							
						",Account
367,"
							Cant connect to facebook
							
						",Account
368,"
							Add Album as an  playlist to bibliothek
							
						",Account
369,"
							Contacting Spotify
							
						",Account
370,"
							Someone Else Using My Account
							
						",Account
371,"
							Switching transferring to family plan
							
						",Account
372,"
							I?€?m unsure how to fix this issue ?
							
						",Account
373,"
							First signing up and NO email
							
						",Account
374,"
							Account Premium omaggio per 60 giorni
							
						",Account
375,"
							All my music library is gone
							
						",Account
376,"
							Log in withour anythig
							
						",Account
377,"
							Spotify family - need more information
							
						",Account
378,"
							I can't change my country so the payment can't go ...
							
						",Account
379,"
							Entire account changed
							
						",Account
380,"
							0.99 promo - paying through iTunes account?? SO LO...
							
						",Account
381,"
							I can log into my account
							
						",Account
382,"
							IN THE UK
							
						",Account
383,"
							del plan familiar a premium
							
						",Account
384,"
							Subscribed to premium but its not working
							
						",Account
385,"
							Can't log into web player!!
							
						",Account
386,"
							Alguien rob?? mi cuenta Premium y cambi?? el mail
							
						",Account
387,"
							Hacked Credit Card
							
						",Account
388,"
							Account Hijacked
							
						",Account
389,"
							Closing Account while changing email
							
						",Account
390,"
							Gammalt konto sp??kar n??r jag skapar ett nytt
							
						",Account
391,"
							Missing music
							
						",Account
392,"
							data usage
							
						",Account
393,"
							Can't log in Spotify by Facebook: You may now clos...
							
						",Account
394,"
							Quickbooks sh
							
						",Account
395,"
							Deleted Account Still Exist
							
						",Account
396,"
							Re: Family Plan log in issues
							
						",Account
397,"
							[Samsung] Spotify for Samsung TV - Tizen OS
							
						",Account
398,"
							cant log in
							
						",Account
399,"
							change country
							
						",Account
400,"
							Trouble changing country settings
							
						",Account
401,"
							Pop Up facebook
							
						",Account
402,"
							g
							
						",Account
403,"
							People can't find my profile / public playlists
							
						",Account
404,"
							dfdgfdgfdgfdgfffgdgdtrdtghgfjhfgjgcgcgfhggfjgjghjg
							
						",Account
405,"
							Can no longer log-in after new update
							
						",Account
406,"
							Cant invite my brother to the family premium
							
						",Account
407,"
							Weird user Name After registration with Spotify We...
							
						",Account
408,"
							Facebook account problem
							
						",Account
409,"
							blacklisted countries
							
						",Account
410,"
							Pay using mobile phone prepaid credit?
							
						",Account
411,"
							Premium for 3 months
							
						",Account
412,"
							SPOTIFY HACKED
							
						",Account
413,"
							Spotify fsmily
							
						",Account
414,"
							hacked
							
						",Account
415,"
							Can't login and not receiving reset email
							
						",Account
416,"
							Changing country / new credit card is not accepted
							
						",Account
417,"
							(800)(804)(8950)~Fly Jamaica Change Flight JFK***N...
							
						",Account
418,"
							I can't access my account that I used on my iphone
							
						",Account
419,"
							Account
							
						",Account
420,"
							Not getting gift when paid paid twice
							
						",Account
421,"
							Playlist
							
						",Account
422,"
							Re: Do local file plays count towards Discover Wee...
							
						",Account
423,"
							dsfdfdfv
							
						",Account
424,"
							Password Not Working
							
						",Account
425,"
							Cant change payment method
							
						",Account
426,"
							Can't Gift Spotify Premium
							
						",Account
427,"
							Wiped
							
						",Account
428,"
							My account got hacked, i need  help.
							
						",Account
429,"
							Country Change
							
						",Account
430,"
							Google home mini email.
							
						",Account
431,"
							Release e-mail from old account
							
						",Account
432,"
							I can't change my country settings (which means I ...
							
						",Account
433,"
							Change email address and use it for a new account?
							
						",Account
434,"
							Three months free deal 23/12/16
							
						",Account
435,"
							Update payment method button not working!
							
						",Account
436,"
							How to contact spotify to  denounce a violation?
							
						",Account
437,"
							Account preservation for a deceased friend
							
						",Account
438,"
							Becoming a rockstar.
							
						",Account
439,"
							Probl??me pays Spotify Family
							
						",Account
440,"
							ftyh
							
						",Account
441,"
							Changing country and family account
							
						",Account
442,"
							double charged by spotify and app store
							
						",Account
443,"
							Duda con la promocion de tres meses premium
							
						",Account
444,"
							Hoppla! Da ist wohl etwas schiefgegangen. Versuch ...
							
						",Account
445,"
							Rabatt f??r Studenten
							
						",Account
446,"
							Playlists - please help
							
						",Account
447,"
							CHARGED TWICE!
							
						",Account
448,"
							How can I change family account to private?
							
						",Account
449,"
							The webpage said the student premium is free for a...
							
						",Account
450,"
							Getting an error when I try to upgrade my account ...
							
						",Account
451,"
							Can't log in
							
						",Account
452,"
							Can't change my country from the account
							
						",Account
453,"
							I can't login at all
							
						",Account
454,"
							Delete all my saved musics
							
						",Account
455,"
							My Albuns are gone
							
						",Account
456,"
							Ya soy premium y aparezco como free
							
						",Account
457,"
							NEED HELP REGARDING STREAM COUNT
							
						",Account
458,"
							I need help please!!
							
						",Account
459,"
							Link a Feature i did to my account
							
						",Account
460,"
							Close Acount
							
						",Account
461,"
							Gift card enabling
							
						",Account
462,"
							Country issue
							
						",Account
463,"
							cant invite wife to family plan. cant update count...
							
						",Account
464,"
							Cuenta premium
							
						",Account
465,"
							L??mite de Pesta??as Alcanzado
							
						",Account
466,"
							Different account - Spotify Family
							
						",Account
467,"
							Account hacked
							
						",Account
468,"
							Tidak dapat pin verifikasi saat pembayaran
							
						",Account
469,"
							Charged for Spotify Premium, checked account, but ...
							
						",Account
470,"
							I can no longer log in
							
						",Account
471,"
							How to Make a Payment?
							
						",Account
472,"
							Pagamento
							
						",Account
473,"
							Premium
							
						",Account
474,"
							Help My giftcard pincode is not working
							
						",Account
475,"
							How to pay?
							
						",Account
476,"
							Ik heb nooit premium gedownload en betaal toch
							
						",Account
477,"
							fdsfbsfdkgbskfdbgskfjdbg
							
						",Account
478,"
							Plan familiar
							
						",Account
479,"
							I can't login to my account because of the name
							
						",Account
480,"
							Changing country
							
						",Account
481,"
							Hinzuf??gen von Familien Mitgliedern funktioniert n...
							
						",Account
482,"
							wrong country on my account
							
						",Account
483,"
							Changing to premium family trouble
							
						",Account
484,"
							The wrong artists are featured on my songs
							
						",Account
485,"
							Spotify won't recognize my password or email
							
						",Account
486,"
							Alguien no autorizado en mi cuenta.
							
						",Account
487,"
							desconto de estudante e cobran??a duplicada
							
						",Account
488,"
							Error 404
							
						",Account
489,"
							Billing cycle after changing to annual payment
							
						",Account
490,"
							Can't Update my Email
							
						",Account
491,"
							Premium for Family with Premium already, keep play...
							
						",Account
492,"
							Problems with spotify premium purchase
							
						",Account
493,"
							Pagamento
							
						",Account
494,"
							NUS Extra Discount
							
						",Account
495,"
							Charged twice per month
							
						",Account
496,"
							Payment and Premium
							
						",Account
497,"
							CHARGED TWICE WITH PROMO
							
						",Account
498,"
							Can't update my profile information
							
						",Account
499,"
							Im paying for a premium account
							
						",Account
500,"
							The server returned a ""500 Internal Server Error""....
							
						",Account
501,"
							Premium NOT working
							
						",Account
502,"
							Login
							
						",Account
503,"
							Subscription cancelled
							
						",Account
504,"
							Account lost
							
						",Account
505,"
							Someone else is using my account
							
						",Account
506,"
							Problemas con los permisos
							
						",Account
507,"
							New phone won't log into my premium account
							
						",Account
508,"
							Too hard
							
						",Account
509,"
							My premium account has been hacked
							
						",Account
510,"
							Suscripci??n Premium
							
						",Account
511,"
							Kraken support number 888`944`4844 Kraken account ...
							
						",Account
512,"
							Will I lose my songs if I join spotify family??
							
						",Account
513,"
							Account access without facebook
							
						",Account
514,"
							Annual Subscription, is it possible?
							
						",Account
515,"
							playlits
							
						",Account
516,"
							My account does not write my name and surname.
							
						",Account
517,"
							Help: impossible to unsubscribe Premium!
							
						",Account
518,"
							Password Reset
							
						",Account
519,"
							Premium subscription not recognised on any devices
							
						",Account
520,"
							Cake Showroom of Compassion 3 songs?
							
						",Account
521,"
							Recently played history has people I didn't listen...
							
						",Account
522,"
							Can my account be reset?
							
						",Account
523,"
							Me cobraron el 1 mes que segun era gratis
							
						",Account
524,"
							Invoice for yearly payment
							
						",Account
525,"
							Trying to Log in from abroad
							
						",Account
526,"
							Change username
							
						",Account
527,"
							Card code cant scretched
							
						",Account
528,"
							Second student account?
							
						",Account
529,"
							Supprimer un compte ? Delete account?
							
						",Account
530,"
							Can't log in after changing password
							
						",Account
531,"
							not able to login to android app
							
						",Account
532,"
							Cannot get spotify premium for student
							
						",Account
533,"
							Me siguen cobrando Spotify Premium en plan Familia...
							
						",Account
534,"
							credit card charges
							
						",Account
535,"
							Friend Activity: Empty, Someone Else's Playlists/D...
							
						",Account
536,"
							No se realiza el pago autom??tico mensual
							
						",Account
537,"
							Music
							
						",Account
538,"
							My son reset my account and now everything is gone...
							
						",Account
539,"
							Spotify sent me an email addressed to another user
							
						",Account
540,"
							closing account
							
						",Account
541,"
							Skype account recovery 1(877)702-4683 Skype passwo...
							
						",Account
542,"
							Obtener premium
							
						",Account
543,"
							Diferent country
							
						",Account
544,"
							purchase Spotify Premium on the ps4 but and not ab...
							
						",Account
545,"
							Trying to update Payment Methods but keep being as...
							
						",Account
546,"
							This account isn't mine!
							
						",Account
547,"
							cannot login
							
						",Account
548,"
							Me sac?? de Premium.
							
						",Account
549,"
							Conta Premium
							
						",Account
550,"
							Wrong facebook account connected
							
						",Account
551,"
							Spotify premium
							
						",Account
552,"
							Ayuda! Cree por error una cuenta spotify familiar,...
							
						",Account
553,"
							Spotify Family
							
						",Account
554,"
							you are offline, get online first
							
						",Account
555,"
							Can't log into web player!!
							
						",Account
556,"
							credit card ??
							
						",Account
557,"
							Se hizo el cargo a mi tarjeta pero no tengo Premiu...
							
						",Account
558,"
							Account/Login
							
						",Account
559,"
							Impossible to change credit card in Brazil!!!!!
							
						",Account
560,"
							Permium account used on device I don't know
							
						",Account
